station_number,latitude,longitude,county,locality,address,institution
304,45.69657477,23.01633006999999,JUDEŢUL HUNEDOARA,BĂŢĂLAR,"UAT: BRETEA ROMÂNĂ, Localitate: BĂŢĂLAR, Nr: 85 Etaj: Parter  Rampa: Da",Căminul Cultural Bățălar
517,44.00918408405844,23.54150455257338,JUDEŢUL DOLJ,URZICUŢA,"UAT: URZICUŢA, Localitate: URZICUŢA, Nr: 25 Etaj: Parter  Rampa: Da",Scoala cu cls. I-VIII Barbu Ionescu Urzicuta
207,44.183772187953636,28.63484789217712,JUDEŢUL CONSTANŢA,CONSTANŢA,"UAT: MUNICIPIUL CONSTANŢA, Localitate: CONSTANŢA, Artera: Bulevardul Alexandru Lăpuşneanu, Nr: 13 Etaj: Etaj 1  Rampa: Nu",UNIVERSITATEA ”ANDREI ŞAGUNA”
182,46.71912424645698,26.702971565152144,JUDEŢUL BACĂU,BUHUŞI,"UAT: ORAŞ BUHUŞI, Localitate: BUHUŞI, Artera: Strada Nicolae Bălcescu, Nr: 1 Etaj: Parter  Rampa: Da",Casa de Cultură ”Elisabeta Bostan”
345,46.95391560079474,22.169076711668882,JUDEŢUL BIHOR,POIANA TĂŞAD,"UAT: COPĂCEL, Localitate: POIANA TĂŞAD, Nr: 78 Etaj: Parter  Rampa: Da",ȘCOALA PRIMARĂ NR.4
88,45.75377310352114,27.077513009807394,JUDEŢUL VRANCEA,ODOBEŞTI,"UAT: ORAŞ ODOBEŞTI, Localitate: ODOBEŞTI, Artera: Strada Libertăţii (Strada Mareşal Ion Antonescu), Nr: 161 A Etaj: Parter  Rampa: Nu",GRĂDINIȚA CU PROGRAM NORMAL NR.3 (STRUCTURA CARAGEA)
275,45.05520544540072,23.667671442126277,JUDEŢUL GORJ,DOBRANA,"UAT: PRIGORIA, Localitate: DOBRANA, Artera: Strada Principală, Nr: 38 Etaj: Parter  Rampa: Da",ȘCOALA CU CLASELE I-IV DOBRANA
91,45.27244309697389,25.043654872417488,JUDEŢUL ARGEŞ,CÂMPULUNG,"UAT: MUNICIPIUL CÂMPULUNG, Localitate: CÂMPULUNG Etaj: Parter  Rampa: Da",ŞCOALA GIMNAZIALĂ ”OPREA IORGULESCU” - II
50,44.546944399999994,27.884166600000032,JUDEŢUL IALOMIŢA,FETEŞTI,"UAT: MUNICIPIUL FETEŞTI, Localitate: FETEŞTI, Artera: Strada Bănăţenilor, Nr: 14 Etaj: Parter  Rampa: Da",Liceul Tehnologic de Industrie Alimentară - Corp C1
222,47.2229,24.70909900000004,JUDEŢUL BISTRIŢA-NĂSĂUD,SUSENII BÂRGĂULUI,"UAT: PRUNDU BÂRGĂULUI, Localitate: SUSENII BÂRGĂULUI, Artera: Strada Bistriței, Nr: 92 Etaj: Parter  Rampa: Da",ŞCOALA PRIMARĂ SUSENII BÎRGĂULUI
